County,Violent crime
Alameda,510
Butte,3155
Contra Costa,426
El Dorado3,252
Fresno,962
Imperial3,219
Kern,2235
Kings3,122
Los Angeles,5173
Madera,334
Marin,95
Merced,432
Monterey,244
Napa,79
Orange,213
Placer,299
Riverside,885
Sacramento,3117
San Benito,41
San Bernardino,920
San Diego,1161
San Joaquin,845
San Luis Obispo,324
San Mateo,330
Santa Barbara,266
Santa Clara,232
Santa Cruz,295
Shasta,697
Solano,101
Sonoma,638
Stanislaus,394
Sutter3,104
Tulare4,383
Ventura,169
Yolo,87
Yuba,227
Alpine,39
Amador,350
Calaveras,111
Colusa,333
Del Norte,101
Glenn3,44
Humboldt,3265
Inyo3,58
Lake3,200
Lassen3,47
Mariposa,89
Mendocino,324
Modoc3,34
Mono3,14
Nevada,139
Plumas3,82
Sierra,3
Siskiyou,39
Tehama,167
Trinity,34
Tuolumne,185
